2	0.986
3	0.988
4	0.986
5	0.988
6	0.989
7	0.988
8	0.987
9	0.989
10	0.987
11	0.986
12	0.988
13	0.986
14	0.985
15	0.986
16	0.986
17	0.985
18	0.986
19	0.985
20	0.985
21	0.985
22	0.985
23	0.985
24	0.986
25	0.984
26	0.984
27	0.986
28	0.983
29	0.983
30	0.984
31	0.984
32	0.984
33	0.984
34	0.982
35	0.984
36	0.983
37	0.983
38	0.982
39	0.984
40	0.982
41	0.980
42	0.982
43	0.980
44	0.982
45	0.982
46	0.981
47	0.981
48	0.981
49	0.980
50	0.981
51	0.981
52	0.978
53	0.980
54	0.980
55	0.979
56	0.979
57	0.980
58	0.978
59	0.978
60	0.979
61	0.976
62	0.978
63	0.978
64	0.979
65	0.976
66	0.979
67	0.976
68	0.975
69	0.977
70	0.977
71	0.977
72	0.976
73	0.977
74	0.975
75	0.977
76	0.974
77	0.976
78	0.977
79	0.973
80	0.975
81	0.976
82	0.974
83	0.973
84	0.973
85	0.973
86	0.972
87	0.973
88	0.975
89	0.973
90	0.975
91	0.970
92	0.973
93	0.974
94	0.972
95	0.972
96	0.973
97	0.971
98	0.971
99	0.972
100	0.971
101	0.972
102	0.972
103	0.972
104	0.972
105	0.971
106	0.969
107	0.971
108	0.971
109	0.968
110	0.968
111	0.968
112	0.970
113	0.970
114	0.972
115	0.966
116	0.971
117	0.966
118	0.970
119	0.966
120	0.968
121	0.966
122	0.967
123	0.968
124	0.967
125	0.967
126	0.968
127	0.966
128	0.969
129	0.966
130	0.965
131	0.966
132	0.968
133	0.963
134	0.966
135	0.966
136	0.966
137	0.966
138	0.964
139	0.964
140	0.967
141	0.962
142	0.963
143	0.965
144	0.963
145	0.965
146	0.965
147	0.965
148	0.963
149	0.967
150	0.966
151	0.965
152	0.962
153	0.962
154	0.963
155	0.964
156	0.965
157	0.961
158	0.961
159	0.963
160	0.961
161	0.959
162	0.965
163	0.962
164	0.961
165	0.962
166	0.961
167	0.960
168	0.959
169	0.958
170	0.961
171	0.961
172	0.951
173	0.961
174	0.958
175	0.957
176	0.963
177	0.957
178	0.961
179	0.957
180	0.957
181	0.961
182	0.956
183	0.956
184	0.957
185	0.957
186	0.958
187	0.955
188	0.956
189	0.956
190	0.955
191	0.958
192	0.954
193	0.956
194	0.955
195	0.956
196	0.957
197	0.952
198	0.952
199	0.953
200	0.952
201	0.952
