2	0.964
3	0.967
4	0.953
5	0.962
6	0.961
7	0.962
8	0.949
9	0.964
10	0.958
11	0.962
12	0.957
13	0.962
14	0.959
15	0.963
16	0.951
17	0.959
18	0.962
19	0.962
20	0.957
21	0.961
22	0.958
23	0.958
24	0.954
25	0.956
26	0.959
27	0.959
28	0.956
29	0.959
30	0.951
31	0.956
32	0.946
33	0.954
34	0.954
35	0.957
36	0.955
37	0.953
38	0.948
39	0.954
40	0.947
41	0.953
42	0.953
43	0.951
44	0.946
45	0.947
46	0.950
47	0.949
48	0.952
49	0.948
50	0.951
51	0.955
52	0.949
53	0.951
54	0.946
55	0.950
56	0.942
57	0.952
58	0.947
59	0.950
60	0.947
61	0.950
62	0.946
63	0.946
64	0.943
65	0.950
66	0.950
67	0.949
68	0.945
69	0.950
70	0.943
71	0.947
72	0.946
73	0.948
74	0.947
75	0.947
76	0.942
77	0.947
78	0.942
79	0.947
80	0.944
81	0.946
82	0.945
83	0.947
84	0.944
85	0.944
86	0.940
87	0.945
88	0.939
89	0.942
90	0.942
91	0.943
92	0.943
93	0.944
94	0.937
95	0.943
96	0.940
97	0.942
98	0.939
99	0.941
100	0.941
101	0.940
102	0.941
103	0.942
104	0.942
105	0.942
106	0.940
107	0.941
108	0.942
109	0.942
110	0.940
111	0.943
112	0.943
113	0.942
114	0.941
115	0.942
116	0.941
117	0.940
118	0.936
119	0.940
120	0.940
121	0.939
122	0.937
123	0.940
124	0.939
125	0.938
126	0.936
127	0.938
128	0.937
129	0.938
130	0.936
131	0.937
132	0.938
133	0.937
134	0.933
135	0.936
136	0.938
137	0.939
138	0.936
139	0.936
140	0.934
141	0.936
142	0.936
143	0.936
144	0.936
145	0.936
146	0.936
147	0.936
148	0.936
149	0.935
150	0.936
151	0.934
152	0.935
153	0.936
154	0.936
155	0.936
156	0.935
157	0.935
158	0.935
159	0.934
160	0.934
161	0.934
162	0.935
163	0.935
164	0.933
165	0.933
166	0.933
167	0.933
168	0.933
169	0.933
170	0.933
171	0.932
172	0.932
173	0.932
174	0.932
175	0.932
176	0.931
177	0.932
178	0.930
179	0.931
180	0.931
181	0.930
182	0.930
183	0.931
184	0.930
185	0.930
186	0.929
187	0.929
188	0.928
189	0.927
190	0.927
191	0.928
192	0.928
193	0.929
194	0.927
195	0.928
196	0.926
197	0.925
198	0.925
199	0.926
200	0.926
201	0.926
202	0.925
203	0.924
204	0.924
205	0.924
206	0.924
207	0.923
208	0.924
209	0.923
210	0.922
211	0.922
212	0.921
213	0.921
214	0.921
215	0.921
216	0.920
217	0.921
218	0.920
219	0.919
220	0.918
221	0.919
222	0.918
223	0.919
224	0.918
225	0.918
226	0.917
227	0.916
228	0.916
229	0.916
230	0.916
231	0.917
232	0.915
233	0.916
234	0.915
235	0.915
236	0.914
237	0.915
238	0.914
239	0.914
240	0.913
241	0.913
242	0.913
243	0.912
244	0.913
245	0.912
246	0.912
247	0.911
248	0.911
249	0.910
250	0.911
251	0.909
252	0.910
253	0.909
254	0.909
255	0.909
256	0.909
257	0.908
258	0.907
259	0.907
260	0.906
261	0.907
262	0.907
263	0.907
264	0.905
265	0.906
266	0.905
267	0.905
268	0.905
269	0.905
270	0.905
271	0.905
272	0.905
273	0.904
274	0.904
275	0.904
276	0.904
277	0.903
278	0.904
279	0.903
280	0.901
281	0.902
282	0.902
283	0.903
284	0.901
285	0.901
286	0.901
287	0.901
288	0.901
289	0.900
290	0.900
291	0.900
292	0.899
293	0.899
294	0.899
295	0.899
296	0.899
297	0.899
298	0.899
299	0.898
300	0.897
301	0.897
302	0.898
303	0.898
304	0.896
305	0.897
306	0.896
307	0.895
308	0.896
309	0.896
310	0.894
311	0.894
312	0.895
313	0.895
314	0.894
315	0.893
316	0.894
317	0.893
318	0.893
319	0.893
320	0.892
321	0.892
322	0.892
323	0.891
324	0.892
325	0.891
326	0.891
327	0.891
328	0.890
329	0.890
330	0.889
331	0.888
332	0.889
333	0.890
334	0.889
335	0.888
336	0.889
337	0.887
338	0.887
339	0.887
340	0.887
341	0.886
342	0.888
343	0.885
344	0.885
345	0.887
346	0.885
347	0.885
348	0.885
349	0.884
350	0.884
351	0.884
352	0.884
353	0.883
354	0.882
355	0.882
356	0.881
357	0.882
358	0.881
359	0.882
360	0.880
361	0.880
362	0.880
363	0.880
364	0.880
365	0.879
366	0.879
367	0.878
368	0.879
369	0.878
370	0.878
371	0.877
372	0.878
373	0.877
374	0.876
375	0.875
376	0.876
377	0.875
378	0.876
379	0.874
380	0.873
381	0.873
382	0.873
383	0.872
384	0.873
385	0.872
386	0.871
387	0.870
388	0.871
389	0.870
390	0.870
391	0.870
392	0.871
393	0.869
394	0.869
395	0.869
396	0.869
397	0.868
398	0.868
399	0.868
400	0.868
401	0.866
402	0.867
403	0.865
404	0.866
405	0.865
406	0.865
407	0.863
408	0.864
409	0.863
410	0.862
411	0.863
412	0.862
413	0.862
414	0.863
415	0.861
416	0.862
417	0.860
418	0.861
419	0.859
420	0.859
421	0.858
422	0.859
423	0.859
424	0.857
425	0.858
426	0.858
427	0.857
428	0.856
429	0.856
430	0.856
431	0.855
432	0.856
433	0.854
434	0.854
435	0.855
436	0.855
437	0.852
438	0.853
439	0.853
440	0.852
441	0.853
442	0.852
443	0.851
444	0.852
445	0.851
446	0.850
447	0.850
448	0.851
449	0.850
450	0.850
451	0.849
452	0.849
453	0.849
454	0.849
455	0.846
456	0.848
457	0.847
458	0.846
459	0.846
460	0.847
461	0.847
462	0.846
463	0.846
464	0.845
465	0.845
466	0.843
467	0.845
468	0.842
469	0.843
470	0.842
471	0.843
472	0.842
473	0.842
474	0.842
475	0.842
476	0.841
477	0.841
478	0.839
479	0.840
480	0.839
481	0.840
482	0.840
483	0.839
484	0.838
485	0.839
486	0.839
487	0.838
488	0.838
489	0.837
490	0.837
491	0.835
492	0.836
493	0.835
494	0.835
495	0.837
496	0.836
497	0.832
498	0.834
499	0.833
500	0.832
501	0.833
502	0.832
503	0.833
504	0.832
505	0.830
506	0.832
507	0.830
508	0.829
509	0.829
510	0.829
511	0.829
512	0.828
513	0.830
514	0.828
515	0.828
516	0.826
517	0.827
518	0.827
519	0.825
520	0.826
521	0.826
522	0.825
523	0.825
524	0.825
525	0.824
526	0.824
527	0.824
528	0.823
529	0.821
530	0.821
531	0.823
532	0.819
533	0.821
534	0.819
535	0.819
536	0.820
537	0.821
538	0.819
539	0.818
540	0.820
541	0.818
542	0.816
543	0.817
544	0.816
545	0.817
546	0.817
547	0.816
548	0.815
549	0.815
550	0.814
551	0.814
552	0.814
553	0.815
554	0.813
555	0.812
556	0.812
557	0.812
558	0.813
559	0.810
560	0.810
561	0.811
562	0.808
563	0.811
564	0.808
565	0.808
566	0.807
567	0.808
568	0.808
569	0.806
570	0.808
571	0.806
572	0.806
573	0.806
574	0.804
575	0.805
576	0.804
577	0.803
578	0.803
579	0.803
580	0.803
581	0.804
582	0.802
583	0.801
584	0.800
585	0.801
586	0.801
587	0.801
588	0.800
589	0.799
590	0.799
591	0.798
592	0.800
593	0.798
594	0.798
595	0.796
596	0.795
597	0.796
598	0.795
599	0.794
600	0.795
601	0.795
602	0.796
603	0.794
604	0.793
605	0.794
606	0.793
607	0.791
608	0.790
609	0.791
610	0.791
611	0.792
612	0.790
613	0.788
614	0.790
615	0.788
616	0.788
617	0.788
618	0.787
619	0.787
620	0.789
621	0.786
622	0.787
623	0.786
624	0.784
625	0.784
626	0.784
627	0.785
628	0.785
629	0.784
630	0.783
631	0.781
632	0.784
633	0.782
634	0.782
635	0.782
636	0.782
637	0.780
638	0.780
639	0.779
640	0.779
641	0.779
642	0.780
643	0.779
644	0.779
645	0.778
646	0.777
647	0.776
648	0.775
649	0.775
650	0.775
651	0.774
652	0.776
653	0.773
654	0.775
655	0.773
656	0.773
657	0.775
658	0.771
659	0.772
660	0.772
661	0.772
662	0.771
663	0.771
664	0.769
665	0.769
666	0.769
667	0.770
668	0.769
669	0.768
670	0.770
671	0.766
672	0.768
673	0.767
674	0.767
675	0.766
676	0.767
677	0.765
678	0.763
679	0.765
680	0.764
681	0.763
682	0.762
683	0.762
684	0.763
685	0.762
686	0.761
687	0.762
688	0.760
689	0.761
690	0.760
691	0.759
692	0.759
693	0.758
694	0.758
695	0.756
696	0.757
697	0.755
698	0.754
699	0.757
700	0.756
701	0.757
702	0.754
703	0.753
704	0.753
705	0.754
706	0.753
707	0.752
708	0.755
709	0.750
710	0.753
711	0.752
712	0.752
713	0.750
714	0.751
715	0.748
716	0.749
717	0.748
718	0.749
719	0.747
720	0.748
721	0.746
722	0.747
723	0.747
724	0.746
725	0.746
726	0.746
727	0.744
728	0.746
729	0.743
730	0.746
731	0.741
732	0.743
733	0.741
734	0.742
735	0.740
736	0.741
737	0.740
738	0.743
739	0.740
740	0.738
741	0.739
742	0.736
743	0.738
744	0.737
745	0.737
746	0.735
747	0.734
748	0.736
749	0.734
750	0.736
751	0.732
752	0.734
753	0.735
754	0.732
755	0.732
756	0.734
757	0.732
758	0.730
759	0.732
760	0.731
761	0.730
762	0.730
763	0.728
764	0.729
765	0.727
766	0.728
767	0.727
768	0.727
769	0.728
770	0.726
771	0.726
772	0.725
773	0.725
774	0.725
775	0.724
776	0.725
777	0.723
778	0.723
779	0.724
780	0.723
781	0.722
782	0.722
783	0.720
784	0.721
785	0.719
786	0.719
787	0.719
788	0.719
789	0.718
790	0.719
791	0.716
792	0.718
793	0.715
794	0.717
795	0.716
796	0.715
797	0.714
798	0.715
799	0.712
800	0.714
801	0.714
802	0.712
803	0.711
804	0.712
805	0.712
806	0.711
807	0.712
808	0.712
809	0.709
810	0.711
811	0.709
812	0.709
813	0.710
814	0.708
815	0.705
816	0.706
817	0.707
818	0.706
819	0.705
820	0.704
821	0.706
822	0.706
823	0.704
824	0.704
825	0.705
826	0.702
827	0.702
828	0.704
829	0.704
830	0.701
831	0.700
832	0.702
833	0.700
834	0.701
835	0.699
836	0.699
837	0.699
838	0.699
839	0.696
840	0.697
841	0.696
842	0.699
843	0.696
844	0.697
845	0.694
846	0.696
847	0.694
848	0.694
849	0.693
850	0.694
851	0.694
852	0.692
853	0.692
854	0.690
855	0.691
856	0.691
857	0.690
858	0.690
859	0.690
860	0.688
861	0.690
862	0.688
863	0.687
864	0.686
865	0.689
866	0.688
867	0.685
868	0.686
869	0.683
870	0.685
871	0.687
872	0.682
873	0.686
874	0.682
875	0.683
876	0.683
877	0.682
878	0.679
879	0.682
880	0.680
881	0.679
882	0.681
883	0.679
884	0.678
885	0.676
886	0.680
887	0.677
888	0.677
889	0.677
890	0.677
891	0.676
892	0.676
893	0.675
894	0.677
895	0.673
896	0.674
897	0.675
898	0.672
899	0.674
900	0.671
901	0.672
902	0.672
903	0.672
904	0.669
905	0.672
906	0.670
907	0.669
908	0.668
909	0.669
910	0.668
911	0.668
912	0.668
913	0.664
914	0.669
915	0.668
916	0.664
917	0.666
918	0.664
919	0.663
920	0.662
921	0.664
922	0.663
923	0.659
924	0.663
925	0.659
926	0.660
927	0.662
928	0.660
929	0.661
930	0.659
931	0.656
932	0.658
933	0.656
934	0.660
935	0.658
936	0.657
937	0.657
938	0.655
939	0.656
940	0.656
941	0.655
942	0.655
943	0.652
944	0.654
945	0.655
946	0.654
947	0.650
948	0.652
949	0.652
950	0.649
951	0.650
952	0.651
953	0.650
954	0.649
955	0.651
956	0.648
957	0.649
958	0.647
959	0.647
960	0.646
961	0.647
962	0.647
963	0.645
964	0.644
965	0.646
966	0.643
967	0.644
968	0.645
969	0.643
970	0.642
971	0.640
972	0.644
973	0.642
974	0.642
975	0.643
976	0.639
977	0.636
978	0.640
979	0.637
980	0.638
981	0.639
982	0.638
983	0.637
984	0.638
985	0.633
986	0.639
987	0.636
988	0.635
989	0.634
990	0.635
991	0.634
992	0.633
993	0.634
994	0.634
995	0.632
996	0.633
997	0.633
998	0.631
999	0.629
1000	0.631
1001	0.629
1002	0.630
1003	0.632
